image, mf,amf,namf,proposed1,proposed2,proposed3,proposed4,proposed5
noiseimage/[test14]_origin_0.40.png,18.757,32.372,30.220,32.663,32.624,30.292,30.652,32.444
noiseimage/[test14]_origin_0.50.png,15.001,30.478,28.835,30.702,30.656,28.871,29.141,30.711
noiseimage/[test14]_origin_0.60.png,12.261,29.080,27.877,29.271,29.255,27.895,28.106,29.535
noiseimage/[test14]_origin_0.70.png,10.294,27.247,26.741,27.354,27.383,26.718,26.888,27.995
noiseimage/[test14]_origin_0.80.png,7.989,25.337,25.556,25.382,25.450,25.524,25.627,26.141
noiseimage/[test14]_origin_0.90.png,6.589,23.009,23.989,22.974,23.016,23.963,23.994,23.910
noiseimage/[test15]_origin_0.10.png,24.004,31.364,29.156,31.780,31.808,29.217,30.601,31.319
noiseimage/[test15]_origin_0.20.png,22.673,28.579,26.672,28.957,28.964,26.740,27.557,28.535
noiseimage/[test15]_origin_0.30.png,19.870,26.701,24.861,27.031,27.029,24.905,25.457,26.648
noiseimage/[test15]_origin_0.40.png,17.407,25.513,23.882,25.809,25.813,23.908,24.321,25.475
noiseimage/[test15]_origin_0.50.png,14.207,24.418,23.114,24.690,24.688,23.127,23.435,24.540
noiseimage/[test15]_origin_0.60.png,12.037,22.899,22.031,23.096,23.112,22.044,22.272,23.187
noiseimage/[test15]_origin_0.70.png,9.815,21.574,21.240,21.699,21.732,21.241,21.404,22.080
noiseimage/[test15]_origin_0.80.png,7.972,20.193,20.435,20.269,20.294,20.427,20.528,20.888
noiseimage/[test15]_origin_0.90.png,6.694,18.321,19.206,18.285,18.306,19.202,19.220,19.043
noiseimage/[test16]_origin_0.10.png,27.973,31.676,30.372,31.970,31.933,30.393,30.741,31.681
noiseimage/[test16]_origin_0.20.png,26.158,30.894,29.432,31.206,31.161,29.501,29.761,30.821
noiseimage/[test16]_origin_0.30.png,22.453,29.580,28.107,29.885,29.860,28.198,28.406,29.438
noiseimage/[test16]_origin_0.40.png,18.885,28.603,27.256,28.873,28.882,27.352,27.514,28.479
noiseimage/[test16]_origin_0.50.png,15.390,27.632,26.544,27.862,27.872,26.612,26.747,27.606
noiseimage/[test16]_origin_0.60.png,12.279,26.899,26.110,27.099,27.153,26.161,26.283,27.038
noiseimage/[test16]_origin_0.70.png,10.356,25.571,25.398,25.716,25.791,25.444,25.541,25.997
noiseimage/[test16]_origin_0.80.png,8.472,24.397,24.664,24.517,24.623,24.693,24.754,24.944
